1	5	10	25																						
	191	249	213	344	191	178	217	290	261	144	220	248	253	241	364	265	174	208	292	296	130	236	208	251	289
1																									
1	44	53	40	84	48	52	70	16	76	4	58	41	4	20	66	30	27	35	40	40	2	23	2	3	74
8	44	2	52	71	41	13	50	7	33	6	46	60	33	16	82	65	38	56	7	32	4	18	4	2	79
13	43	4	15	63	13	52	34	40	71	18	31	50	7	24	81	60	31	28	20	14	1	15	3	24	49
38	19	41	23	63	48	6	52	12	8	30	29	36	50	40	76	62	13	43	29	6	2	23	47	43	28
38	24	45	15	56	45	11	33	30	7	19	42	56	50	24	79	9	8	14	13	27	19	57	10	25	28
51	36	51	41	26	46	46	17	72	11	42	30	16	35	66	39	31	5	57	39	13	4	30	48	30	10
53	16	25	4	52	17	7	16	73	34	42	44	63	23	23	18	20	38	20	17	41	22	68	56	41	1
54	42	50	5	51	17	43	26	36	72	17	17	21	52	4	52	22	1	45	50	80	26	25	57	39	69
62	15	29	29	39	32	37	42	78	32	18	20	77	42	43	41	65	47	11	51	65	32	10	34	28	2
97	14	73	7	12	7	15	7	81	75	47	50	48	63	80	73	78	45	4	71	40	39	30	56	63	72
2																									
3	42	5	44	66	39	39	63	8	49	4	38	73	1	17	55	51	7	27	40	12	18	8	13	18	36
12	36	28	52	81	2	47	67	33	13	20	22	53	1	23	82	27	19	56	6	7	6	48	14	5	74
36	25	46	14	54	12	44	35	42	39	12	2	59	44	30	39	3	25	31	29	20	7	32	12	34	73
42	38	4	51	71	8	23	49	54	33	20	52	42	39	18	54	30	8	50	40	56	22	25	22	37	8
47	19	64	40	39	38	34	46	44	61	37	3	12	53	38	32	14	51	23	67	80	17	45	50	30	18
60	27	47	15	25	9	9	59	55	62	37	25	51	32	50	9	47	9	22	31	4	4	46	40	37	41
72	30	73	9	19	44	19	31	67	9	31	21	37	52	18	24	59	10	25	26	27	39	27	55	38	58
79	9	47	1	13	8	1	11	70	28	40	20	9	55	41	51	68	55	38	75	75	24	2	51	55	60
87	42	27	18	26	6	21	3	60	67	45	23	3	43	40	39	31	19	28	61	20	41	59	39	56	42
88	2	21	23	22	31	5	3	77	60	46	4	18	44	60	4	39	47	23	58	77	36	50	50	55	77
3																									
13	28	40	42	68	21	33	49	30	54	7	56	65	36	22	10	83	1	60	42	34	6	21	9	8	67
22	39	13	44	65	3	53	64	32	4	26	33	31	48	14	52	49	6	7	14	33	7	7	13	28	65
28	43	28	10	63	5	36	59	15	56	23	48	34	25	11	10	24	52	22	53	4	16	1	33	16	44
34	33	35	20	69	16	23	42	58	3	19	56	4	34	67	77	29	38	37	59	60	12	38	56	23	59
