1	25	10	25																						
	829	1364	981	1270	1051	1791	923	686	1542	1010	1284	693	965	891	973	1417	1157	1439	1085	1304	1280	1192	1349	1753	1358
1																									
17	13	29	14	29	44	20	43	34	44	56	8	28	12	11	34	13	52	5	3	26	5	23	59	50	81
19	22	50	8	36	39	47	21	10	49	32	35	20	26	37	10	47	63	44	67	33	48	42	44	81	4
21	46	4	19	36	42	19	41	3	13	62	21	15	7	21	3	64	70	64	53	27	48	55	33	53	58
42	44	8	38	56	38	18	39	44	11	24	18	29	8	18	43	40	33	64	23	1	43	26	58	61	46
46	12	62	13	48	26	50	20	19	49	8	31	22	24	31	44	30	43	51	18	26	58	59	42	84	69
50	35	41	7	49	43	33	18	34	21	57	25	11	27	42	49	23	6	20	4	49	15	52	10	23	48
52	44	8	53	54	32	12	29	16	64	28	21	28	43	48	20	5	31	36	49	33	40	42	20	67	56
62	55	12	31	32	41	54	13	44	75	23	15	36	54	9	31	54	28	23	55	48	21	4	25	70	56
73	47	55	52	52	19	59	23	10	57	58	61	35	48	34	22	53	60	58	42	68	33	32	28	41	55
100	26	22	61	2	2	9	1	16	80	52	56	20	50	52	49	67	12	34	17	65	30	62	2	36	87
2																									
2	42	32	1	54	38	24	41	6	4	34	6	41	2	26	47	7	46	8	13	12	65	26	72	50	1
7	48	13	26	40	42	51	40	42	24	10	8	31	8	3	50	25	64	57	25	6	58	1	71	11	1
17	38	64	21	6	15	53	31	13	37	22	3	34	38	12	41	36	18	15	60	17	52	54	69	50	13
19	35	18	8	48	49	75	28	13	3	50	3	14	25	11	39	40	39	63	54	14	34	5	47	63	74
21	16	38	17	45	53	35	25	23	29	62	1	30	24	29	44	32	5	40	59	57	31	42	49	35	82
55	4	23	37	46	43	22	35	3	67	59	39	42	46	22	31	38	36	15	59	28	30	50	44	28	87
59	28	24	39	45	27	36	15	2	67	21	19	19	17	6	26	68	44	56	25	19	4	10	31	36	53
63	33	52	24	26	11	15	35	34	83	38	45	21	24	29	20	43	10	53	23	38	28	69	33	37	3
66	47	25	50	4	43	67	14	23	83	37	55	28	39	52	40	20	59	38	64	33	25	48	5	74	65
78	19	27	31	42	21	5	7	24	52	40	13	16	45	25	3	67	9	24	26	61	36	62	23	59	42
3																									
16	33	22	33	28	30	82	32	14	14	56	10	37	29	39	31	11	73	40	16	10	60	13	18	75	8
42	12	22	27	27	42	45	19	12	73	11	5	18	41	37	27	17	36	49	22	61	32	67	45	78	32
45	15	46	18	22	33	53	28	23	74	5	5	9	45	30	47	39	45	22	41	64	58	59	18	23	40
